autonomous 自治的，自主的
cautious 小心的，谨慎的
curious 好奇的；奇异的
dangerous 危险的
delicious 美味的，可口的
famous 著名的
generous 慷慨大方的
humorous 富于幽默的；幽默的
mountainous 多山的
nervous 紧张不安的
obvious 显然的，明显的
poisonous 有毒的，致命的
precious 宝贵的，珍贵的
religious 宗教的
ridiculous 荒谬的，愚蠢的
serious 严肃的，严重的；严肃的；严重的
various 各种各样的

由-y 缀构成的形容词
angry 生气的，愤怒的；生气的
busy 忙的，繁忙的；忙的
clumsy 笨拙的，不灵巧的
cosy 暖和舒适的；紧密无间的
crazy 疯狂的
dirty 脏的
dizzy 头晕目眩的
dusty 尘土般的，尘土多的
easy 容易的，不费力的；容易的
empty 空的
fancy 花式的；奇特的
funny 有趣的，滑稽可笑的；有趣的；滑稽的
gay （男）同性恋的；快活的
greedy 贪婪的
guilty 有罪的，犯法的；惭愧的
handy 便利的，顺手的
happy 幸福的；快乐的；高兴的
healthy 健康的，卫生的；健康的
heavy 重的
hilly 丘陵的；多小山的
holy 神圣的
hungry （饥）饿的；饥饿的
lazy 懒惰的
lucky 运气好的，侥幸的；幸运的
merry 高兴的，愉快的
messy 乱七八糟的
muddy 泥泞的
noisy 喧闹的，嘈杂的；吵闹的
only 唯一的，仅有的；只；仅仅
pretty 漂亮的；相当
ready 准备好的
shabby 破旧的，破烂的
shy 害羞的
silly 傻的，愚蠢的
sleepy 想睡的，困倦的
sorry 抱歉的；难过的
steady 稳固的；平稳的
tiny 极小的，微小的
ugly 丑陋的；难看的
wealthy 富有的，富裕的
worthy 值得的

有-ary 或-ory 后缀构成的形容词
arbitrary 随心所欲的；独裁的
compulsory 强制的，必修的
contemporary 同时期的，同时代的
contradictory 矛盾的，相互对立的
contrary 相反的
extraordinary 离奇的；不一般的
literary 文学的
necessary 必需的，必要的；必要的
ordinary 普通的， 平常的；普通的
primary 初等的，初级的；基本的
satisfactory 令人满意的
temporary 短暂的
voluntary 主动的

由-ly 后缀构成的形容词
daily 每日的；日常的；每日地
early 早的；早
friendly 有好的；友好的
likely 很可能的
lively 活泼的；充满生气的
weekly 每周的

由-some 后缀构成的形容词
awesome 令人产生敬畏的
handsome 英俊的
tiresome 令人厌倦的
troublesome 令人烦恼的

由-ful 后缀构成的形容词
awful 令人产生敬畏的；很坏的
beautiful 美的，美丽的；美丽的
careful 小心的
cheerful 兴高采烈的，快活的
forgetful 健忘的，不留心的
grateful 感激的，感谢的
harmful 有害的；致伤的
helpful 有帮助的，有益的
hopeful 有希望的；有前途的
merciful 仁慈的；宽大的
painful 疼痛的，痛苦的
peaceful 和平的，安宁的
powerful 强有力的，强大的
skillful 熟练的；精湛的
successful 成功的，有成就的；成功的
thankful 感谢的，感激的
useful 有用的，有益的
wonderful 美妙的，精彩的；精彩的

合成形容词
cold-blooded （动物）冷血的，冷酷的
downtown 城市的商业区，闹市区的
easy-going 随和的，容易相处的
everyday 每日的；日常的
hardworking 努力工作的
inland 内陆的，内地的
kind-hearted 好心的
left-handed 惯用左手的
leftover 剩余的，剩下的
man-made 人造的，人工的
nationwide 全国范围内的，全国性的
nearby 附近的；附近
outgoing 爱交际的，内向的
outspoken 直率的，坦诚的
outstanding 优秀的，杰出的
overhead 在头顶上的；架空的
overweight 太胖的，超重的
